#KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,SC,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,jmag,hmag,kmag,parallax,parallax_error
11013201,Kepler,972,1,0.22739369999999998,0.0000001,55001.990706,0.013106,0.0002,-1,0.2377,-1,1,0.98,282.0003,48.5422,77.9525,20.5223,9.275,7779,True,7221,114,-171,3.488,0.272,-0.048,-0.18,0.15,-0.1,4.24,0.227,-1.284,2.018,0.029,-0.248,8.816,8.765,8.736,4.412177246536598,0.02839161114164543
8545456,Kepler,-1,1,0.3152045,0.0000002,54953.665175,0.017205,0.0296,0.0263,0.1185,0.1143,0.5032,0.77,285.0947,44.6663,74.8604,17.2092,11.724,7855,True,8051,224,-337,3.966,0.227,-0.122,-0.14,0.2,-0.3,2.347,0.468,-0.702,1.856,0.127,-0.355,11.191,11.072,11.031,-1.1649281933144935,0.3478279753093385
8330092,Kepler,-1,1,0.3217236,0.0000002,54964.942348000004,0.019562,0.0371,0.0362,0.1467,0.1204,0.501,0.8,300.8955,44.2472,79.6051,6.9371,13.484,6902,True,7241,230,-345,4.139,0.153,-0.187,-0.24,0.25,-0.35,1.681,0.531,-0.398,1.42,0.206,-0.251,12.502,12.308,12.269,0.5339765251474659,0.03110392975440321
9786165,Kepler,-1,1,0.33262509999999995,0.0000019,54999.874947000004,0.017454,0.5214,0.4724,0.1499,0.1254,0.4995,0.73,297.5457,46.5779,80.4416,10.1423,17.131,6098,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7339123,Kepler,-1,1,0.3471032,0.0000002,54953.720417,0.019172,0.0811,0.0747,0.1547,0.152,0.5024,0.76,282.6419,42.9464,72.5106,18.2488,11.541,6138,True,6316,169,-169,4.191,0.209,-0.171,-0.28,0.3,-0.3,1.366,0.394,-0.322,1.056,0.169,-0.123,10.609,10.341,10.293,,
10727655,Kepler,-1,1,0.3533655,0.0000002,54953.909174,0.018255,0.5274,0.4701,0.1491,0.1176,0.5005,0.74,290.4329,48.0659,79.602,15.1192,13.433,6074,True,6334,173,-189,4.177,0.234,-0.175,-0.3,0.3,-0.3,1.389,0.415,-0.339,1.058,0.184,-0.123,12.108,11.737,11.694,1.3827047498593323,0.02172193057227704
2717141,Kepler,-1,1,0.3945715,0.0000003,54953.756174,0.022583000000000002,0.434,0.4225,0.1537,0.1173,0.4991,0.78,292.3262,37.9615,70.8858,9.502,13.519,6140,True,6328,175,-214,4.122,0.252,-0.168,-0.2,0.25,-0.3,1.521,0.439,-0.439,1.115,0.192,-0.139,12.566,12.325,12.263,0.9671752980719341,0.01609081824520305
8496820,Kepler,-1,1,0.4369669,0.0000003,54953.98272000001,0.025897000000000003,0.3423,0.3095,0.2052,0.1331,0.5018,0.85,292.473,44.5885,76.9715,12.3721,12.558,6310,True,6531,162,-211,4.044,0.293,-0.158,-0.28,0.25,-0.3,1.715,0.477,-0.583,1.186,0.206,-0.169,11.598,11.382,11.331,1.3786507371131949,0.02072139959410741
10861842,Kepler,-1,1,0.47194319999999995,0.0000004,54964.81780800001,0.028599,0.3463,0.2099,0.2016,0.1857,0.5055,0.76,292.0718,48.2383,80.2326,14.1956,14.291,7191,True,7402,232,-310,4.045,0.222,-0.167,-0.28,0.25,-0.35,1.926,0.533,-0.533,1.5,0.22,-0.245,13.226,13.094,12.948,0.5316122168542514,0.018501028982880186
10920314,Kepler,-1,1,0.5051686,0.0000004,54953.586610000006,0.021703999999999998,0.2732,0.1047,0.1907,0.1943,0.501,0.64,291.9566,48.3468,80.3007,14.3109,13.119,6993,True,7268,200,-325,4.157,0.102,-0.189,0.12,0.2,-0.35,1.748,0.547,-0.294,1.599,0.204,-0.226,12.365,12.21,12.225,1.0165007628523617,0.016464396822515773
11180361,Kepler,971,1,0.5330609000000001,0.0000004,54964.777867,0.017588999999999997,0.0016,-1,0.1139,-1,1,0.57,286.0192,48.8667,79.2128,18.1299,7.748,8330,True,8523,267,-326,3.559,0.639,-0.071,-0.5,0.15,-0.3,4.051,0.788,-2.363,2.166,0.377,-0.7,7.388,7.343,7.355,3.8863026952907918,0.036585024647235745
8074045,Kepler,-1,1,0.5363932,0.0000004,54964.970275,0.021078,0.3029,0.0914,0.1758,0.1698,0.5003,0.62,280.5026,43.9778,72.9871,20.0577,13.639,6754,True,6961,170,-267,4.169,0.112,-0.192,-0.02,0.25,-0.35,1.635,0.55,-0.339,1.443,0.216,-0.238,13.032,12.834,12.804,0.8162344391419286,0.013457687944247917
